date,dividEnd,unit,race,time,course,distance,runners,favourite,placed,card_no,name
2nd January 2023,71.00,904.20,Race 1,12:45,Ayr,2m 4f 100y,5,5,1st,1,Glen Cannel
2nd January 2023,71.00,904.20,Race 1,12:45,Ayr,2m 4f 100y,5,5,2nd,5,Saladam (F)
2nd January 2023,71.00,904.20,Race 2,1:15,Ayr,2m 4f 100y,17,1,1st,7,So Many Roads
2nd January 2023,71.00,904.20,Race 2,1:15,Ayr,2m 4f 100y,17,1,2nd,14,Euchan Falls
2nd January 2023,71.00,904.20,Race 2,1:15,Ayr,2m 4f 100y,17,1,3rd,1,Jet Legs (F)
2nd January 2023,71.00,904.20,Race 2,1:15,Ayr,2m 4f 100y,17,1,4th,5,Blazing Port
2nd January 2023,71.00,904.20,Race 3,1:45,Ayr,3m 20y,4,1,1st,1,Gold Cup Bailly (F)
2nd January 2023,71.00,904.20,Race 4,2:15,Ayr,2m 4f 110y,6,1,1st,5,Donna's Double
2nd January 2023,71.00,904.20,Race 4,2:15,Ayr,2m 4f 110y,6,1,2nd,3,High Moon
2nd January 2023,71.00,904.20,Race 5,2:45,Ayr,3m 70y,4,4,1st,4,Storm Nelson (F)
2nd January 2023,71.00,904.20,Race 6,3:15,Ayr,2m,11,6,1st,6,L Anamour (F)
2nd January 2023,71.00,904.20,Race 6,3:15,Ayr,2m,11,6,2nd,4,Halondo
2nd January 2023,71.00,904.20,Race 6,3:15,Ayr,2m,11,6,3rd,8,One Mill Harbour
